ID,Center Name,ServeLesbian,ServeGay,ServeBisexual,ServeTransgender,GeoCoverage,WebPresence,WebAddress,NGOStatus,InOperation,SiteType,OrgType,PhisicalSpace,SpaceType,Street Address,City,State,Zip,SHServices,HealthScreenings,CTServices,SupportServices,BlackSpecific,LatinoSpecific,APISpecific,MaleSpecific,FemaleSpecific,GenerationSpecific,Source,CommunityCenter,CommHealthCenter,,,,,,
001,Affirmations,1,1,1,1,2,1,http://www.goaffirmations.org/,1,1,1,0,1,1,290 West Nine Mile Road,Ferndale,Michigan,48220,1,1,1,1,0,0,0,0,0,0,1,1,1,,,,,,
002,"BAGLY, Inc. (Boston Alliance of LGBTQ Youth)",1,1,1,1,2,1,http://www.bagly.org/,1,1,2,0,1,2,565 Boylston Street,Boston,Massachusetts,02116,0,1,1,0,0,0,0,0,0,1,1,1,1,,,,,,
003,"BAGLY, Inc. (Boston Alliance of LGBTQ Youth) - The Clinic @ BAGLY",1,1,1,1,2,1,http://www.bagly.org/,1,1,2,0,1,2,14 Beacon Street,Boston,Massachusetts,02108,1,1,1,0,0,1,0,0,0,1,1,1,1,,,,,,
004,"Bienestar Human Services, Inc. - Coachella",1,1,1,1,2,1,http://www.bienestar.org/,1,1,2,0,1,1,53-990 Enterprise Way,Coachella,California,92236,1,1,1,1,0,1,0,0,0,0,1,1,1,,,,,,
005,"Bienestar Human Services, Inc. - El Monte",1,1,1,1,2,1,http://www.bienestar.org/,1,1,2,0,1,1,3131 Santa Anita Avenue,El Monte,California,91733,1,1,1,1,0,1,0,0,0,0,1,1,1,,,,,,
006,"Bienestar Human Services, Inc. - Long Beach",1,1,1,1,2,1,http://www.bienestar.org/,1,1,2,0,1,1,1464 Cherry Avenue,Long Beach,California,90813,1,1,1,1,0,1,0,0,0,0,1,1,1,,,,,,
007,"Bienestar Human Services, Inc. - South Los Angeles",1,1,1,1,2,1,http://www.bienestar.org/,1,1,2,0,1,1,130 West Manchester Avenue,Los Angeles,California,90003,1,1,1,1,0,1,0,0,0,0,1,1,1,,,,,,
008,"Bienestar Human Services, Inc. - East Los Angeles",1,1,1,1,2,1,http://www.bienestar.org/,1,1,2,0,1,1,5326 East Beverly Boulevard,Los Angeles,California,90022,1,1,1,1,0,1,0,0,0,0,1,1,1,,,,,,
009,"Bienestar Human Services, Inc. - Hollywood",1,1,1,1,2,1,http://www.bienestar.org/,1,1,2,0,1,1,4955 West Sunset Boulevard,Los Angeles,California,90027,1,1,1,1,0,1,0,0,0,0,1,1,1,,,,,,
010,"Bienestar Human Services, Inc. - Pomona",1,1,1,1,2,1,http://www.bienestar.org/,1,1,2,0,1,1,180 East Mission Boulevard,Pomona,California,91766,1,1,1,1,0,1,0,0,0,0,1,1,1,,,,,,
